family,m,r,k,seed,step,edge,old_weight,delta,changed_entries,active_row_descriptors,compression_ratio,max_cyclic_intervals_per_row,interval_violations,support_equivalence,unique_row_interval_shapes,bitonic_rows_tested,bitonic_violations,unimodal_peak_violations,max_slack_sign_turns
random_planar,10,100,36,1,0,"(64, 9)",0.8698082780320028,0.48421150634554255,94,32,2.9375,1,0,True,4,2,0,0,1
random_planar,10,100,36,1,1,"(53, 92)",0.9285490843131141,0.6576864087721336,128,21,6.095238095238095,1,0,True,10,21,0,0,1
random_planar,10,100,36,1,2,"(76, 93)",1.115505408270103,0.6022326145755847,86,15,5.733333333333333,1,0,True,6,15,0,0,1
random_planar,10,100,36,1,3,"(77, 87)",1.8160797159694184,1.2946309437017334,132,22,6.0,1,0,True,12,16,0,0,1
random_planar,10,100,36,1,4,"(78, 85)",0.8519537224823662,0.6066097057772873,60,14,4.285714285714286,1,0,True,7,13,0,0,1
random_planar,10,100,36,1,5,"(28, 99)",0.7629333446010527,0.4936678871732394,84,23,3.652173913043478,1,0,True,6,6,0,0,1
random_planar,12,144,44,0,0,"(137, 85)",1.0316528017551447,0.7941475418003435,216,35,6.171428571428572,1,0,True,16,30,0,0,1
random_planar,12,144,44,0,1,"(101, 119)",1.0038355456703971,0.8211297195648353,96,18,5.333333333333333,1,0,True,10,16,0,0,1
random_planar,12,144,44,0,2,"(11, 143)",1.1334539585847525,0.41279828589700296,138,28,4.928571428571429,1,0,True,10,16,0,0,0
random_planar,12,144,44,0,3,"(116, 95)",0.864151306447607,0.34638808620649536,162,33,4.909090909090909,1,0,True,12,26,0,0,1
